file,metric,DertResNet50_pre_BB426,insightface_pre_BB426,YOLOv8x_pre_BB426,YOLOv8x_pre_BB426_SAHI,YOLOv8x_BB158_500_t16_b,YOLOv8x_BB426_760_t31_b,best_model_name
2022-08-29_18-03-48.jpg,precision,0.762,0.000,0.900,0.921,0.909,0.927,YOLOv8x_BB426_760_t31_b
2022-08-29_18-03-48.jpg,recall,0.340,0.000,0.383,0.745,0.851,0.809,YOLOv8x_BB158_500_t16_b
2022-08-29_18-03-48.jpg,f1score,0.471,0.000,0.537,0.824,0.879,0.864,YOLOv8x_BB158_500_t16_b
2022-08-29_18-03-48.jpg,support,47.000,0.000,47.000,47.000,47.000,47.000,DertResNet50_pre_BB426
2022-08-29_18-03-48.jpg,mAP,0.126,0.000,0.231,0.435,0.592,0.537,YOLOv8x_BB158_500_t16_b
2022-08-29_18-33-47.jpg,accuracy,0.283,0.000,0.340,0.500,0.673,0.708,YOLOv8x_BB426_760_t31_b
2022-08-29_18-33-47.jpg,precision,0.567,0.000,1.000,0.960,0.943,0.971,YOLOv8x_pre_BB426
2022-08-29_18-33-47.jpg,recall,0.362,0.000,0.340,0.511,0.702,0.723,YOLOv8x_BB426_760_t31_b
2022-08-29_18-33-47.jpg,f1score,0.442,0.000,0.508,0.667,0.805,0.829,YOLOv8x_BB426_760_t31_b
2022-08-29_18-33-47.jpg,support,47.000,0.000,47.000,47.000,47.000,47.000,DertResNet50_pre_BB426
2022-08-29_18-33-47.jpg,mAP,0.095,0.000,0.187,0.285,0.465,0.482,YOLOv8x_BB426_760_t31_b
2022-09-02_15-00-16.jpg,accuracy,0.417,0.000,0.833,1.000,0.750,0.857,YOLOv8x_pre_BB426_SAHI
2022-09-02_15-00-16.jpg,precision,0.455,0.000,1.000,1.000,0.750,0.857,YOLOv8x_pre_BB426
2022-09-02_15-00-16.jpg,recall,0.833,0.000,0.833,1.000,1.000,1.000,YOLOv8x_pre_BB426_SAHI
